ligne,organisme,statut,lien
162,Spectre de rue,exact,https://maps.google.com/?cid=634011273493592405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
163,Société Saint-Vincent de Paul de Montréal,exact,https://maps.google.com/?cid=726758909707661447&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
164,Société écocitoyenne de Montréal,exact,https://maps.google.com/?cid=4695477994079297405&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
165,Sidalys,exact,https://maps.google.com/?cid=3117110099998595249&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
166,Sentier Urbain,exact,https://maps.google.com/?cid=18383294478357300564&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
167,Le Sac à dos,exact,https://maps.google.com/?cid=4855834038867385261&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
168,Voies culturelles des faubourgs,exact,https://maps.google.com/?cid=1070431916350092710&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
169,ACEF du sud-ouest de Montréal,exact,https://maps.google.com/?cid=3444058381673066543&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
170,ALAC,exact,https://maps.google.com/?cid=10593720030170962952&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
171,Association Cigogne,exact,https://maps.google.com/?cid=4925257951260028996&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
172,Association de la Communauté noire de Côte-Des-Neiges/Black Community Resource Centre (BCRC),exact,https://maps.google.com/?cid=4338702449311415435&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
173,Association des parents de Côte-des-Neiges,exact,https://maps.google.com/?cid=16885670639210334541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
174,Association des enseignants immigrants du Québec (AEIQ),exact,https://maps.google.com/?cid=11047410935424190560&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
175,Association jamaïcaine,doute,
176,Auberge Shalom pour femmes,doute,
177,Baobab Familial,exact,https://maps.google.com/?cid=15293630974828845122&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
178,Black Community Association (BCA),exact,https://maps.google.com/?cid=1958734191645593932&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
179,Centre communautaire de Loisirs de la Côte-des-Neiges (CELO),exact,https://maps.google.com/?cid=5695095735981904318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
180,Centre communautaire irakien,doute,
181,Centre communautaire Mountain Sights (CCMS),exact,https://maps.google.com/?cid=12986463513344582505&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA
